accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material,experiment_type,collection_date,env_package_type
mgm4505828.3,KA1U.A.02,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505829.3,KA1U.A.03,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505830.3,KA1U.A.04,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505831.3,KA1U.A.05,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505832.3,KA1U.A.06,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505833.3,KA1U.A.07,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505834.3,KA1U.A.08,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505835.3,KA1U.A.09,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505836.3,KA1U.A.10,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505837.3,KA1U.A.11,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505838.3,KA1U.A.12,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505839.3,KA1U.A.13,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505840.3,KA1U.A.14,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505841.3,KA1U.A.15,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505842.3,KA1U.A.16,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505843.3,KA1U.A.17,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505844.3,KA1U.A.18,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505845.3,KA1U.A.19,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505846.3,KA1U.A.20,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505847.3,KA1U.A.21,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505848.3,KA1U.A.22,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505849.3,KA1U.A.23,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505850.3,KA1U.A.24,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505851.3,KA1U.A.25,88.230354,41.841522,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505852.3,KA1U.B.01,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505853.3,KA1U.B.02,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505854.3,KA1U.B.03,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505855.3,KA1U.B.04,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505856.3,KA1U.B.05,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505857.3,KA1U.B.06,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505858.3,KA1U.B.07,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505859.3,KA1U.B.08,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505860.3,KA1U.B.09,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505861.3,KA1U.B.10,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505862.3,KA1U.B.11,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505863.3,KA1U.B.12,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505864.3,KA1U.B.13,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505865.3,KA1U.B.14,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505866.3,KA1U.B.15,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505867.3,KA1U.B.16,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505868.3,KA1U.B.17,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505869.3,KA1U.B.18,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505870.3,KA1U.B.19,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505871.3,KA1U.B.20,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505872.3,KA1U.B.21,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505873.3,KA1U.B.22,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505874.3,KA1U.B.23,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505875.3,KA1U.B.24,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505876.3,KA1U.B.25,88.23054,41.84152,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505877.3,KA1U.C.01,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505878.3,KA1U.C.02,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505879.3,KA1U.C.03,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505880.3,KA1U.C.04,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505881.3,KA1U.C.05,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505882.3,KA1U.C.06,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505883.3,KA1U.C.07,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505884.3,KA1U.C.08,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505885.3,KA1U.C.09,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505886.3,KA1U.C.11,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505887.3,KA1U.C.12,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505888.3,KA1U.C.13,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505889.3,KA1U.C.14,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505890.3,KA1U.C.15,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505891.3,KA1U.C.16,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505892.3,KA1U.C.18,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505893.3,KA1U.C.19,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505894.3,KA1U.C.20,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505895.3,KA1U.C.21,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505896.3,KA1U.C.22,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505897.3,KA1U.C.23,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505898.3,KA1U.C.24,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505899.3,KA1U.C.25,88.2302,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505900.3,KA1U.D.01,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505901.3,KA1U.D.02,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505902.3,KA1U.D.03,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505903.3,KA1U.D.04,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505904.3,KA1U.D.05,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505905.3,KA1U.D.06,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505906.3,KA1U.D.07,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505907.3,KA1U.D.08,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505908.3,KA1U.D.09,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505909.3,KA1U.D.10,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505910.3,KA1U.D.11,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505911.3,KA1U.D.12,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505912.3,KA1U.D.13,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505913.3,KA1U.D.14,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505914.3,KA1U.D.15,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505915.3,KA1U.D.16,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505916.3,KA1U.D.17,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505917.3,KA1U.D.18,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505918.3,KA1U.D.19,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505919.3,KA1U.D.20,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505920.3,KA1U.D.21,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505921.3,KA1U.D.22,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505922.3,KA1U.D.23,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505923.3,KA1U.D.24,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505924.3,KA1U.D.25,88.230125,41.841526,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-21 12:00:00 UTC-6,soil
mgm4505925.3,KA1U.E.01,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505926.3,KA1U.E.02,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505927.3,KA1U.E.03,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505928.3,KA1U.E.04,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505929.3,KA1U.E.05,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505930.3,KA1U.E.06,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505931.3,KA1U.E.07,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505932.3,KA1U.E.08,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505933.3,KA1U.E.09,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505934.3,KA1U.E.10,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505935.3,KA1U.E.11,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505936.3,KA1U.E.12,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505937.3,KA1U.E.13,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505938.3,KA1U.E.14,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505939.3,KA1U.E.15,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505940.3,KA1U.E.16,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505941.3,KA1U.E.17,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505942.3,KA1U.E.18,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505943.3,KA1U.E.19,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505944.3,KA1U.E.20,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505945.3,KA1U.E.21,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505946.3,KA1U.E.22,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505947.3,KA1U.E.23,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505948.3,KA1U.E.24,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505949.3,KA1U.E.25,88.23004,41.84151,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505950.3,KA2F.A.01,88.22985,41.841118,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505951.3,KA2F.A.02,88.22985,41.841118,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505952.3,KA2F.A.03,88.22985,41.841118,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505953.3,KA2F.A.04,88.22985,41.841118,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
mgm4505954.3,KA2F.A.05,88.22985,41.841118,USA,FL_Spatial_Study_Complete,"Temperate grasslands, savannas, and shrubland biome",cultivated habitat,surface soil,Amplicon,2010-11-19 12:00:00 UTC-6,soil
